City,Date,PM2.5,NO,CO,SO2,O3,AQI
Ahmedabad,2015-01-31,94.52,24.39,24.39,67.39,111.33,514.0
Ahmedabad,2015-02-01,135.99,43.48,43.48,75.23,102.7,782.0
Ahmedabad,2015-02-02,178.33,54.56,54.56,55.04,107.38,914.0
Ahmedabad,2015-02-03,139.7,30.61,30.61,33.79,73.6,660.0
Ahmedabad,2015-02-04,80.65,2.37,2.37,25.73,47.3,294.0
Ahmedabad,2015-02-05,58.36,2.6,2.6,32.66,53.54,149.0
Ahmedabad,2015-02-06,79.29,1.16,1.16,67.41,59.3,190.0
Ahmedabad,2015-02-07,88.7,7.29,7.29,80.09,44.76,247.0
Ahmedabad,2015-02-08,74.28,8.92,8.92,54.28,47.42,379.0
Ahmedabad,2015-02-09,113.93,4.32,4.32,48.73,39.94,341.0
Ahmedabad,2015-02-10,105.39,1.41,1.41,35.91,56.15,256.0
Ahmedabad,2015-02-11,66.52,6.34,6.34,66.58,53.14,388.0
Ahmedabad,2015-02-12,65.04,14.19,14.19,65.91,31.88,288.0
Ahmedabad,2015-02-13,103.36,18.18,18.18,80.43,40.11,510.0
Ahmedabad,2015-02-14,177.33,37.49,37.49,99.72,36.47,761.0
Ahmedabad,2015-02-15,113.25,15.55,15.55,69.71,33.78,475.0
Ahmedabad,2015-02-16,99.7,19.85,19.85,73.23,30.57,536.0
Ahmedabad,2015-02-17,80.61,15.96,15.96,54.7,36.2,479.0
Ahmedabad,2015-02-18,100.79,16.24,16.24,43.11,37.43,592.0
Ahmedabad,2015-02-19,107.99,11.25,11.25,84.86,31.94,427.0
Ahmedabad,2015-02-20,140.29,33.84,33.84,101.53,40.98,588.0
Ahmedabad,2015-02-21,239.96,61.95,61.95,84.87,33.55,1141.0
Ahmedabad,2015-02-22,142.96,45.45,45.45,62.96,34.77,669.0
Ahmedabad,2015-02-23,238.41,77.7,77.7,89.07,37.3,1247.0
Ahmedabad,2015-02-24,118.72,12.56,12.56,61.54,38.8,411.0
Ahmedabad,2015-02-25,52.99,2.23,2.23,32.76,67.25,292.0
Ahmedabad,2015-02-26,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-02-27,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-02-28,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-03-01,61.12,3.58,3.58,28.44,30.48,166.4635814889336
Ahmedabad,2015-03-02,60.78,9.07,9.07,29.48,34.75,189.0
Ahmedabad,2015-03-03,91.83,12.99,12.99,39.71,38.46,408.0
Ahmedabad,2015-03-04,93.88,18.21,18.21,62.75,46.79,383.0
Ahmedabad,2015-03-05,173.01,48.44,48.44,78.76,59.39,780.0
Ahmedabad,2015-03-06,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-03-07,105.45,2.5,2.5,29.29,69.9,166.4635814889336
Ahmedabad,2015-03-08,71.56,3.51,3.51,30.28,57.16,190.0
Ahmedabad,2015-03-09,119.8,4.13,4.13,50.35,50.49,233.0
Ahmedabad,2015-03-10,106.71,5.39,5.39,38.85,60.17,297.0
Ahmedabad,2015-03-11,118.49,4.11,4.11,54.2,53.61,330.0
Ahmedabad,2015-03-12,106.01,4.28,4.28,70.29,40.91,252.0
Ahmedabad,2015-03-13,97.34,3.67,3.67,64.39,45.69,244.0
Ahmedabad,2015-03-14,83.92,6.42,6.42,67.53,34.94,234.0
Ahmedabad,2015-03-15,49.51,3.1,3.1,48.33,37.95,219.0
Ahmedabad,2015-03-16,30.76,2.72,2.72,43.62,54.78,118.0
Ahmedabad,2015-03-17,50.29,5.34,5.34,59.23,45.44,231.0
Ahmedabad,2015-03-18,57.69,25.36,25.36,58.33,52.87,286.0
Ahmedabad,2015-03-19,105.06,46.24,46.24,53.62,45.65,883.0
Ahmedabad,2015-03-20,94.1,22.14,22.14,61.31,46.77,720.0
Ahmedabad,2015-03-21,111.89,22.25,22.25,66.44,50.57,570.0
Ahmedabad,2015-03-22,108.59,25.38,25.38,75.8,46.68,589.0
Ahmedabad,2015-03-23,130.76,45.61,45.61,65.77,41.58,818.0
Ahmedabad,2015-03-24,143.55,27.3,27.3,50.98,35.38,737.0
Ahmedabad,2015-03-25,165.07,23.83,23.83,64.32,43.79,585.0
Ahmedabad,2015-03-26,166.85,17.93,17.93,79.71,53.44,616.0
Ahmedabad,2015-03-27,147.38,6.4,6.4,46.89,17.94,437.0
Ahmedabad,2015-03-28,158.25,5.86,5.86,142.36,38.54,321.0
Ahmedabad,2015-03-29,237.76,4.99,4.99,96.28,39.77,372.0
Ahmedabad,2015-03-30,133.37,3.88,3.88,57.34,39.66,339.0
Ahmedabad,2015-03-31,133.3,6.52,6.52,51.58,59.03,339.0
Ahmedabad,2015-04-01,96.04,3.8,3.8,62.42,46.61,324.0
Ahmedabad,2015-04-02,77.69,5.24,5.24,100.48,27.14,222.0
Ahmedabad,2015-04-03,53.07,4.17,4.17,40.36,21.76,169.0
Ahmedabad,2015-04-04,63.11,5.63,5.63,38.21,4.72,220.0
Ahmedabad,2015-04-05,156.76,3.92,3.92,26.32,37.11,166.4635814889336
Ahmedabad,2015-04-06,120.96,4.23,4.23,35.54,35.66,303.0
Ahmedabad,2015-04-07,138.63,5.65,5.65,87.43,29.77,314.0
Ahmedabad,2015-04-08,144.36,15.82,15.82,66.39,27.34,378.0
Ahmedabad,2015-04-09,85.03,3.3,3.3,59.16,35.89,415.0
Ahmedabad,2015-04-10,134.6,5.9,5.9,34.53,7.0,166.4635814889336
Ahmedabad,2015-04-11,61.06,3.52,3.52,8.08,19.54,126.0
Ahmedabad,2015-04-12,39.42,5.28,5.28,17.66,31.3,175.0
Ahmedabad,2015-04-13,111.86,3.89,3.89,15.84,31.23,226.0
Ahmedabad,2015-04-14,58.37,5.74,5.74,25.9,43.92,244.0
Ahmedabad,2015-04-15,95.37,18.01,18.01,13.59,41.64,315.0
Ahmedabad,2015-04-16,141.3,30.8,30.8,41.06,37.66,678.0
Ahmedabad,2015-04-17,106.68,19.91,19.91,31.56,48.49,774.0
Ahmedabad,2015-04-18,109.48,4.3,4.3,46.6,31.34,285.0
Ahmedabad,2015-04-19,126.04,6.99,6.99,79.56,28.71,321.0
Ahmedabad,2015-04-20,71.22,16.73,16.73,50.09,28.39,358.0
Ahmedabad,2015-04-21,97.87,6.3,6.3,13.85,34.16,357.0
Ahmedabad,2015-04-22,63.38,3.44,3.44,24.79,43.62,189.0
Ahmedabad,2015-04-23,75.29,3.35,3.35,76.05,60.71,166.4635814889336
Ahmedabad,2015-04-24,80.9,5.7,5.7,65.44,22.8,214.0
Ahmedabad,2015-04-25,103.29,4.55,4.55,85.42,22.18,253.0
Ahmedabad,2015-04-26,107.5,5.29,5.29,74.37,10.12,239.0
Ahmedabad,2015-04-27,161.14,3.11,3.11,118.35,59.73,166.4635814889336
Ahmedabad,2015-04-28,102.58,3.88,3.88,41.94,26.89,166.4635814889336
Ahmedabad,2015-04-29,138.42,5.05,5.05,77.74,27.18,300.0
Ahmedabad,2015-04-30,129.04,5.69,5.69,78.27,18.67,317.0
Ahmedabad,2015-05-01,96.65,4.67,4.67,39.41,11.83,240.0
Ahmedabad,2015-05-02,126.77,15.69,15.69,93.18,36.71,344.0
Ahmedabad,2015-05-03,106.15,13.12,13.12,65.95,81.6,503.0
Ahmedabad,2015-05-04,86.31,2.69,2.69,50.13,90.54,308.0
Ahmedabad,2015-05-05,83.99,2.73,2.73,34.06,69.57,227.0
Ahmedabad,2015-05-06,65.11,3.14,3.14,22.27,32.26,120.0
Ahmedabad,2015-05-07,51.03,6.24,6.24,15.5,31.44,158.0
Ahmedabad,2015-05-08,38.73,8.0,8.0,20.13,25.7,177.0
Ahmedabad,2015-05-09,61.12,9.94,9.94,39.69,25.9,201.0
Ahmedabad,2015-05-10,58.44,10.68,10.68,54.69,18.89,211.0
Ahmedabad,2015-05-11,61.49,11.44,11.44,42.66,18.2,221.0
Ahmedabad,2015-05-12,65.39,12.3,12.3,27.96,22.35,233.0
Ahmedabad,2015-05-13,100.92,20.42,20.42,31.9,22.84,481.0
Ahmedabad,2015-05-14,97.48,5.31,5.31,36.05,16.26,352.0
Ahmedabad,2015-05-15,129.27,14.28,14.28,70.13,25.4,327.0
Ahmedabad,2015-05-16,129.58,21.23,21.23,17.66,34.42,577.0
Ahmedabad,2015-05-17,100.57,7.56,7.56,38.76,38.83,411.0
Ahmedabad,2015-05-18,130.34,7.14,7.14,52.07,29.05,212.0
Ahmedabad,2015-05-19,53.24,8.05,8.05,36.23,21.58,280.0
Ahmedabad,2015-05-20,42.0,10.44,10.44,17.0,25.5,162.0
Ahmedabad,2015-05-21,50.1,9.46,9.46,30.67,12.91,166.4635814889336
Ahmedabad,2015-05-22,83.69,10.89,10.89,41.12,35.61,569.0
Ahmedabad,2015-05-23,38.88,2.18,2.18,26.4,12.47,128.0
Ahmedabad,2015-05-24,46.89,2.96,2.96,41.96,10.74,129.0
Ahmedabad,2015-05-25,70.96,4.12,4.12,23.67,16.01,152.0
Ahmedabad,2015-05-26,53.66,4.23,4.23,14.46,45.64,176.0
Ahmedabad,2015-05-27,45.49,4.26,4.26,12.85,71.85,167.0
Ahmedabad,2015-05-28,60.86,5.27,5.27,14.91,41.19,106.0
Ahmedabad,2015-05-29,51.93,13.71,13.71,15.33,12.88,231.0
Ahmedabad,2015-05-30,77.87,6.67,6.67,46.82,16.67,327.0
Ahmedabad,2015-05-31,57.59,5.6,5.6,41.68,25.51,174.0
Ahmedabad,2015-06-01,77.22,7.02,7.02,71.97,9.56,185.0
Ahmedabad,2015-06-02,45.29,7.25,7.25,18.64,6.32,179.0
Ahmedabad,2015-06-03,103.78,6.36,6.36,7.76,15.27,211.0
Ahmedabad,2015-06-04,25.14,6.01,6.01,38.05,38.52,192.0
Ahmedabad,2015-06-05,87.03,8.05,8.05,23.84,48.22,310.0
Ahmedabad,2015-06-06,89.6,6.59,6.59,48.05,44.78,223.0
Ahmedabad,2015-06-07,80.69,6.86,6.86,39.85,32.65,192.0
Ahmedabad,2015-06-08,44.75,7.76,7.76,9.89,8.07,191.0
Ahmedabad,2015-06-09,38.11,7.41,7.41,3.13,6.69,184.0
Ahmedabad,2015-06-10,45.5,8.56,8.56,0.76,3.82,220.0
Ahmedabad,2015-06-11,36.98,8.21,8.21,0.52,5.17,215.0
Ahmedabad,2015-06-12,43.58,8.26,8.26,1.02,7.56,226.0
Ahmedabad,2015-06-13,45.49,9.63,9.63,0.81,2.94,251.0
Ahmedabad,2015-06-14,38.06,8.67,8.67,1.05,4.63,216.0
Ahmedabad,2015-06-15,45.41,9.35,9.35,0.74,4.5,237.0
Ahmedabad,2015-06-16,37.71,8.54,8.54,0.87,4.6,198.0
Ahmedabad,2015-06-17,32.37,7.53,7.53,2.17,12.17,195.0
Ahmedabad,2015-06-18,34.74,7.59,7.59,4.11,12.22,187.0
Ahmedabad,2015-06-19,32.56,7.34,7.34,4.04,11.85,181.0
Ahmedabad,2015-06-20,29.28,7.55,7.55,4.01,12.64,179.0
Ahmedabad,2015-06-21,20.46,7.15,7.15,5.62,12.7,188.0
Ahmedabad,2015-06-22,26.07,7.99,7.99,4.1,10.57,190.0
Ahmedabad,2015-06-23,21.43,7.45,7.45,4.99,7.38,185.0
Ahmedabad,2015-06-24,11.91,7.34,7.34,10.86,5.47,189.0
Ahmedabad,2015-06-25,57.75,8.68,8.68,12.28,3.06,196.0
Ahmedabad,2015-06-26,66.39,8.58,8.58,11.09,4.96,201.0
Ahmedabad,2015-06-27,62.61,9.15,9.15,12.31,6.44,231.0
Ahmedabad,2015-06-28,47.5,8.07,8.07,13.91,7.28,196.0
Ahmedabad,2015-06-29,111.8,9.23,9.23,5.27,5.99,220.0
Ahmedabad,2015-06-30,30.0,8.87,8.87,8.09,6.31,244.0
Ahmedabad,2015-07-01,4.66,9.01,9.01,7.31,6.38,223.0
Ahmedabad,2015-07-02,48.72,9.56,9.56,5.72,6.61,230.0
Ahmedabad,2015-07-03,49.7,9.43,9.43,6.78,6.42,243.0
Ahmedabad,2015-07-04,48.1,8.03,8.03,9.33,7.6,215.0
Ahmedabad,2015-07-05,47.43,8.11,8.11,7.93,7.08,199.0
Ahmedabad,2015-07-06,51.74,8.91,8.91,10.05,5.78,200.0
Ahmedabad,2015-07-07,42.68,9.74,9.74,10.87,4.44,226.0
Ahmedabad,2015-07-08,38.45,10.55,10.55,10.28,3.24,241.0
Ahmedabad,2015-07-09,46.69,11.48,11.48,10.25,5.76,222.0
Ahmedabad,2015-07-10,55.27,11.55,11.55,12.7,6.55,223.0
Ahmedabad,2015-07-11,149.03,11.49,11.49,10.07,7.27,248.0
Ahmedabad,2015-07-12,86.57,11.47,11.47,11.09,6.53,300.0
Ahmedabad,2015-07-13,111.77,11.3,11.3,7.73,4.67,232.0
Ahmedabad,2015-07-14,151.4,10.8,10.8,7.8,5.46,330.0
Ahmedabad,2015-07-15,51.35,8.0,8.0,10.0,5.76,223.0
Ahmedabad,2015-07-16,65.37,0.64,0.64,16.31,8.02,105.0
Ahmedabad,2015-07-17,56.28,0.6,0.6,18.93,6.2,101.0
Ahmedabad,2015-07-18,48.17,0.65,0.65,18.99,7.97,93.0
Ahmedabad,2015-07-19,33.56,0.72,0.72,11.28,10.18,67.0
Ahmedabad,2015-07-20,31.3,0.55,0.55,10.29,7.44,60.0
Ahmedabad,2015-07-21,48.12,0.67,0.67,1.28,6.3,166.4635814889336
Ahmedabad,2015-07-22,57.11,0.55,0.55,14.58,2.6,90.0
Ahmedabad,2015-07-23,34.72,0.1,0.1,13.62,4.87,78.0
Ahmedabad,2015-07-24,29.22,0.06,0.06,13.58,5.08,48.0
Ahmedabad,2015-07-25,29.79,0.14,0.14,15.11,5.34,53.0
Ahmedabad,2015-07-26,59.95,0.18,0.18,11.52,2.79,91.0
Ahmedabad,2015-07-27,19.2,1.52,1.52,11.23,4.61,70.0
Ahmedabad,2015-07-28,19.52,5.89,5.89,11.56,4.4,157.0
Ahmedabad,2015-07-29,35.16,5.75,5.75,14.7,3.67,158.0
Ahmedabad,2015-07-30,33.03,7.01,7.01,12.95,3.53,169.0
Ahmedabad,2015-07-31,40.95,6.92,6.92,19.8,3.38,174.0
Ahmedabad,2015-08-01,40.29,6.74,6.74,8.27,3.57,173.0
Ahmedabad,2015-08-02,41.16,6.91,6.91,13.48,3.69,172.0
Ahmedabad,2015-08-03,36.12,7.21,7.21,13.62,6.08,190.0
Ahmedabad,2015-08-04,28.51,6.69,6.69,5.69,7.65,171.0
Ahmedabad,2015-08-05,31.59,6.99,6.99,9.23,7.9,168.0
Ahmedabad,2015-08-06,42.56,7.17,7.17,6.28,9.86,172.0
Ahmedabad,2015-08-07,48.12,7.14,7.14,6.77,12.78,173.0
Ahmedabad,2015-08-08,37.09,7.22,7.22,8.66,7.94,175.0
Ahmedabad,2015-08-09,33.4,7.4,7.4,9.95,8.39,179.0
Ahmedabad,2015-08-10,38.64,7.35,7.35,9.74,6.28,174.0
Ahmedabad,2015-08-11,40.49,7.48,7.48,8.92,21.51,176.0
Ahmedabad,2015-08-12,41.37,7.47,7.47,11.73,19.8,179.0
Ahmedabad,2015-08-13,44.56,7.49,7.49,11.23,22.77,175.0
Ahmedabad,2015-08-14,65.68,7.57,7.57,8.21,30.21,177.0
Ahmedabad,2015-08-15,33.34,7.3,7.3,6.41,32.95,175.0
Ahmedabad,2015-08-16,39.17,7.35,7.35,9.17,26.64,174.0
Ahmedabad,2015-08-17,34.0,7.41,7.41,9.64,17.17,179.0
Ahmedabad,2015-08-18,36.38,7.31,7.31,10.65,13.35,177.0
Ahmedabad,2015-08-19,38.35,7.41,7.41,9.33,18.59,180.0
Ahmedabad,2015-08-20,38.5,12.38,12.38,10.37,16.33,274.0
Ahmedabad,2015-08-21,39.61,17.31,17.31,10.76,5.38,310.0
Ahmedabad,2015-08-22,61.79,17.24,17.24,12.39,8.06,303.0
Ahmedabad,2015-08-23,43.22,17.17,17.17,11.68,37.87,302.0
Ahmedabad,2015-08-24,33.41,17.12,17.12,12.96,86.83,302.0
Ahmedabad,2015-08-25,36.9,17.08,17.08,4.73,54.01,302.0
Ahmedabad,2015-08-26,36.36,17.11,17.11,8.86,77.3,302.0
Ahmedabad,2015-08-27,32.64,17.01,17.01,7.05,62.31,302.0
Ahmedabad,2015-08-28,38.23,17.07,17.07,10.9,55.94,302.0
Ahmedabad,2015-08-29,39.86,16.98,16.98,10.02,96.83,301.0
Ahmedabad,2015-08-30,72.74,17.04,17.04,4.23,99.03,302.0
Ahmedabad,2015-08-31,43.2,17.05,17.05,5.96,59.99,302.0
Ahmedabad,2015-09-01,63.2,17.03,17.03,3.69,7.57,302.0
Ahmedabad,2015-09-02,64.73,17.01,17.01,6.45,12.13,302.0
Ahmedabad,2015-09-03,65.28,17.04,17.04,6.13,18.2,301.0
Ahmedabad,2015-09-04,67.86,16.97,16.97,8.87,16.53,302.0
Ahmedabad,2015-09-05,52.4,16.97,16.97,9.89,22.55,301.0
Ahmedabad,2015-09-06,33.33,16.95,16.95,6.88,33.58,302.0
Ahmedabad,2015-09-07,29.52,16.94,16.94,8.56,40.65,301.0
Ahmedabad,2015-09-08,15.53,17.0,17.0,15.13,34.18,301.0
Ahmedabad,2015-09-09,57.51,16.31,16.31,8.73,15.39,166.4635814889336
Ahmedabad,2015-09-10,50.24,9.46,9.46,11.63,13.61,226.0
Ahmedabad,2015-09-11,61.77,8.68,8.68,8.1,18.69,276.0
Ahmedabad,2015-09-12,46.93,7.14,7.14,7.92,19.03,209.0
Ahmedabad,2015-09-13,43.01,6.82,6.82,11.58,20.59,179.0
Ahmedabad,2015-09-14,42.06,8.43,8.43,11.63,28.09,197.0
Ahmedabad,2015-09-15,44.94,7.14,7.14,5.85,59.38,229.0
Ahmedabad,2015-09-16,29.58,6.61,6.61,8.82,42.9,170.0
Ahmedabad,2015-09-17,32.15,6.5,6.5,9.2,39.02,164.0
Ahmedabad,2015-09-18,36.33,7.68,7.68,8.28,43.35,195.0
Ahmedabad,2015-09-19,24.46,8.45,8.45,12.59,44.55,220.0
Ahmedabad,2015-09-20,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-09-21,27.08,9.95,9.95,9.51,12.46,166.4635814889336
Ahmedabad,2015-09-22,59.29,9.21,9.21,5.98,7.69,217.0
Ahmedabad,2015-09-23,65.32,10.61,10.61,3.69,4.74,254.0
Ahmedabad,2015-09-24,47.39,9.26,9.26,7.72,7.71,241.0
Ahmedabad,2015-09-25,43.88,8.69,8.69,4.83,11.53,244.0
Ahmedabad,2015-09-26,28.35,9.05,9.05,7.47,15.95,243.0
Ahmedabad,2015-09-27,3.59,11.26,11.26,9.6,20.38,244.0
Ahmedabad,2015-09-28,3.04,16.31,16.31,13.73,30.05,327.0
Ahmedabad,2015-09-29,19.14,10.33,10.33,10.96,29.36,390.0
Ahmedabad,2015-09-30,69.12,8.85,8.85,15.63,28.45,231.0
Ahmedabad,2015-10-01,76.41,17.96,17.96,15.44,31.49,396.0
Ahmedabad,2015-10-02,102.49,33.31,33.31,27.32,24.85,731.0
Ahmedabad,2015-10-03,127.94,11.14,11.14,25.59,15.17,466.0
Ahmedabad,2015-10-04,87.18,7.83,7.83,6.98,23.17,230.0
Ahmedabad,2015-10-05,99.73,20.16,20.16,32.74,20.91,309.0
Ahmedabad,2015-10-06,84.15,15.83,15.83,19.37,23.12,519.0
Ahmedabad,2015-10-07,92.12,18.21,18.21,31.75,29.97,397.0
Ahmedabad,2015-10-08,94.02,27.14,27.14,24.88,23.51,517.0
Ahmedabad,2015-10-09,150.27,15.9,15.9,26.35,31.96,653.0
Ahmedabad,2015-10-10,118.91,5.42,5.42,79.47,24.89,355.0
Ahmedabad,2015-10-11,91.41,5.19,5.19,25.44,6.25,227.0
Ahmedabad,2015-10-12,95.9,10.38,10.38,30.06,27.34,316.0
Ahmedabad,2015-10-13,137.87,20.2,20.2,21.89,17.41,536.0
Ahmedabad,2015-10-14,90.71,18.12,18.12,17.89,26.02,370.0
Ahmedabad,2015-10-15,108.68,17.03,17.03,22.59,19.56,551.0
Ahmedabad,2015-10-16,98.79,17.72,17.72,26.09,30.19,393.0
Ahmedabad,2015-10-17,145.75,20.61,20.61,24.66,95.94,671.0
Ahmedabad,2015-10-18,179.43,52.33,52.33,39.15,112.01,969.0
Ahmedabad,2015-10-19,170.52,15.49,15.49,34.03,53.98,471.0
Ahmedabad,2015-10-20,203.4,23.03,23.03,94.3,5.36,529.0
Ahmedabad,2015-10-21,92.71,12.92,12.92,42.08,72.86,166.4635814889336
Ahmedabad,2015-10-22,64.66,4.79,4.79,34.4,24.76,213.0
Ahmedabad,2015-10-23,78.14,10.58,10.58,44.91,35.56,297.0
Ahmedabad,2015-10-24,100.17,32.27,32.27,27.73,23.95,605.0
Ahmedabad,2015-10-25,147.35,34.64,34.64,46.09,26.43,691.0
Ahmedabad,2015-10-26,206.89,145.32,145.32,20.47,38.0,971.0
Ahmedabad,2015-10-27,114.84,38.09,38.09,22.94,30.19,166.4635814889336
Ahmedabad,2015-10-28,89.64,5.42,5.42,44.92,43.04,270.0
Ahmedabad,2015-10-29,51.72,1.89,1.89,37.31,66.58,188.0
Ahmedabad,2015-10-30,54.59,2.31,2.31,19.08,42.43,114.0
Ahmedabad,2015-10-31,46.5,1.22,1.22,13.73,61.56,143.0
Ahmedabad,2015-11-01,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-02,122.54,75.42,75.42,13.78,60.66,166.4635814889336
Ahmedabad,2015-11-03,147.18,33.06,33.06,21.24,131.12,557.0
Ahmedabad,2015-11-04,214.67,57.37,57.37,22.18,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-05,207.13,28.41,28.41,50.33,34.49143047551845,536.0
Ahmedabad,2015-11-06,191.01,39.61,39.61,40.78,27.9,354.0
Ahmedabad,2015-11-07,192.35,9.39,9.39,29.18,33.21,381.0
Ahmedabad,2015-11-08,127.64,6.74,6.74,26.94,47.33,355.0
Ahmedabad,2015-11-09,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-10,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-11,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-12,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-13,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-14,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-15,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-16,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-17,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-18,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-19,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-20,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-21,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-22,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-23,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-24,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-25,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-26,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-27,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
Ahmedabad,2015-11-28,67.45057794890306,17.574729662029362,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
